individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,dryMassFraction,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent
NEON.PLA.D08.LENO.11697Z,D08,LIST2,21.4,Liquidambar styraciflua L.,15.4,LENO,31.811628,-88.181313,46.3,0.262,14.05,13.67,0.335,1.621,0.609,9.74,2.1,2.59,0.201,0.066,597.3,46.8,14.6,15.8,42.4,2.47,49.73
NEON.PLA.D08.LENO.11698Z,D08,QUPA5,7.8,Quercus pagoda Raf.,13.3,LENO,31.827863,-88.181486,63.3,0.405,20.92,23.14,0.198,1.012,0.67,9.71,2.63,2.24,0.164,0.053,457.7,49.1,8.6,19.1,27.6,2.48,49.65
NEON.PLA.D08.LENO.11699Z,D08,LIST2,10.2,Liquidambar styraciflua L.,16.7,LENO,31.825951,-88.183041,54.1,0.321,17.82,15.62,0.134,0.615,0.492,9.07,2,2.7,0.146,0.069,826.6,41.1,11.5,17.1,43.9,2.62,49.32
NEON.PLA.D08.LENO.14643,D08,ULAM,12.5,Ulmus americana L.,13.7,LENO,31.857548,-88.163273,62.4,0.371,17.45,19.9,0.27,1.483,1.666,13.8,4.62,3.03,0.224,0.047,122.6,55.2,5.9,39.1,14.9,2.18,44.41
NEON.PLA.D08.TALL.00207,D08,QUAL,5.3,Quercus alba L.,105.1,TALL,32.899796,-87.406679,81,0.484,17.26,18.82,0.119,0.553,0.477,3.42,0.72,1.03,0.19,0.108,1311.5,65.6,7.3,22.5,27.2,1.68,46.97
NEON.PLA.D08.TALL.00213,D08,LIST2,17.8,Liquidambar styraciflua L.,135.8,TALL,32.951506,-87.398919,95.8,0.372,30.49,22.79,0.131,1.046,0.538,5.87,1.31,1.31,0.304,0.12,723.1,65.1,10.2,17.2,30.3,1.5950000000000002,48.55
NEON.PLA.D08.TALL.00231,D08,PITA,22.3,Pinus taeda L.,135.8,TALL,32.951506,-87.398919,277.8,0.482,22.05,24.65,0.11699999999999999,1.0545,0.139,8.19,2.1,2.22,0.096,0.0885,438.70000000000005,61.95,20.7,12.600000000000001,35.599999999999994,1.22,50.31
NEON.PLA.D08.TALL.00248,D08,LITU,27.6,Liriodendron tulipifera L.,135.8,TALL,32.951506,-87.398919,70.6,0.305,15.81,17.47,0.171,1.238,1.036,4.64,1.04,1.25,0.473,0.164,459.3,61.9,10.5,22.6,21,2.33,48.39
NEON.PLA.D08.TALL.00380,D08,PIPA2,12.7,Pinus palustris Mill.,132,TALL,32.957884,-87.432613,279.4,0.463,17.85,22.81,0.068,0.521,0.116,2.68,0.54,0.85,0.069,0.074,291.6,74.3,3,13.5,49.8,0.8,50.33
NEON.PLA.D08.TALL.00474,D08,PITA,17.5,Pinus taeda L.,132,TALL,32.957884,-87.432613,278.4,0.5,19.94,20.75,0.104,0.663,0.19,2.38,0.52,0.75,0.074,0.081,535.1,78.5,3.1,11.1,56.6,1.12,52.23
